swetha k Nee ingayum wanthutiya homo 9 !! Homo ku over support ah irukke sari illaye 👎🏽 un koodhiya kilicha taan sari,,,,,,,,,,,,,,,
Mohamed Ali unga hormones ah Ena iruku Adhu than bro Veliya Varum... vibathunu solringa illaya adhu epadi Ninga vibathunu solrinya endha lesbian r gay Vanthu solli irukangala inthanala than Ena straight ah Irunthu gay ah lesbians  ah marinen nu,,,,,,,,,,,,,,,
swetha k ,so lesbian ,gay ellame romba romba thavaru.....intha Mari seiravanga lam romba thappu seiravanga.,,,,,,,,,,,,,
swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku.,,,,,,,,,,,,,,
swetha k ,jack the ripper Mari ,unna Mari alugala kolla atkal varanum...,,,,,,,,,,,,,
swetha k ,naa yarayum rape panna la,ana nee lesbian pannra.pathukoo.naa thappu pannathavan,enna unga boys rape panranga nu sola than mudyum,particular aa enna sola mudiyathu,ana unna Mari lesbian aa particular aa nee thappu panra naaye  nu naa solla mudiyum.,,,,,,,,,,
neenga soldrathu full and full ungala gnaya padutharathathan iruku, vela kuduka maatranganu soldringa apo neenga eppadi vela seiringa, kadaingalukku vanthu kaasu ketta tharom aana avanga 10rs kudu, 50rs kudu nu athigarama kekuranga festival time la rs.50, rs.100 normal days minimum 5rs. picha karangalukku nama enna kudukaramo atha vaangittu povanga, aana ivanlukku bayanthutte kudukanum illana enga asinga pesida poranganu. kadaikulla vanthu ethavathu poralai kekama edukarthu ithellam sariya? unmayil yarum velaiku poga ready illai athuthan unmai. ippo pvt company la ella edathalayum 3 gender kum velai iruku aana yar interview vara sollunga. annachi kadaila yar vela keka varanga ellorum kaasu vanga mattum than varanga.,,,,,,,,,,
Ithungalah thirunangaigal ala panam pidingigal chuuuuuu chiiiiiiii,,,,,,,,,,,,,,,
Thaaaaa...... Adichu thukungada intha maari Salligala,,,,,,,,,,,,,,,
Suttu kollunga antha pardesiya,,,,,,,,,,,,,,,
Intha maariye oru jenmam irukkunga,,,,,,,,,,,,,,,
Naga 9pathu na nee yaru pa thambi,,,,,,,,,,,,,,,
Serupo pejurom thevedeya paya dai pota kuthe,,,,,,,,,,,,,,,
naanga 9nu olagatthukke theriyum. but ni 9 nu enakku mattum dhan theriyum,,,,,,,,,,,,,,,
Ada thevidiya mudaikala.. Ungaluku ulla ortumai ilaye.. Aravani nonsense,,,,,,,,,,,,,,,
Yaandi pottaigala unga rendu groupku sollaren adaavadi venaam,,,,,,,,,,,,,,,
9  naiiii,,,,,,,,,,,,,,,
Eintha pundainkala eppadi than,,,,,,,,,,,,,,,
Aravanikalai odukka vendum....romba pannuthunga,,,,,,,,,,,,,,,
9 kuda arasiyal da saami mudila,,,,,,,,,,,,,,,
9thuku 9thuku sanda ithae orae vekida pakutham,,,,,,,,,,,,,,,
@Vignesh vikki serupala adipanam...dei soothu, nee ambala koothiya iruntha road la oru aravaniya 9 nu solli paruda parpom..apa nee ambala..illana pesatha..sootha mooditu odiru..,,,,,,,,,,,,,,
@꧁ɱɾ ɓɛɑɲ꧂   serupala adippen aravani,,,,,,,,,,,,,,,
@Sandy R  pesitu irukangala sappi avala oombu da oomba porandha naatheri..  Vandhutan poola aatikitu 🤣🤣🤣😂😂,,,,,,,,,,,,,,,
@Sandy R  ne sunniya irundha Ena pundaya irundha Ena da thevadiyaluku porandha soothu nakki 🤣🤣🤣😂😂😂😂😂🤣🤣😂😂😂 yara irundhalum ne sootha nakka porandha nakki paya dhana,,,,,,,,,,,,,,,
@Anitha Anitha  😂😂adi sunni oombi id la sandy nu boy name irukuradhu theriyama oomburale.. ithula irundhe theiryudhu ne oru sunni ku yengura thevidiya nu... va vanthu oombu 😁😂,,,,,,,,,,,,,,,
Nee aayirandha theliva pesuradha nenachalum nee pandradhu thappu; Enga yaarum rape pandradha sarinu sollala nee adha solli nee pandradha sarinu solladha; Jaakit podadha kaalathulayum Endha yurava sarinu Sollala; But anyway we are respect to law,,,,,,,,,,,,,,,
ஆண்ணுக்கு பெண் பெண்ணுக்கு ஆண் இது ஆண்டவர் படைத்தது sister neenga evalo asingamana Kariyangaluku ippadi support pannathinga plz neenga nalla pesuringa but nallatha Valthukkal malini ... Nerya yethirpukalai kadanthu vandhu oru vishayam saathichirukeenga ... Menmelum valvil vettri pera yenathu valthukkal... Anbu ullam konda makkal kandipa ungalaiyum ungal karuthukalyum yethupanga ... Ippadi onnu irukunu arthaku iyarkai thaan karanamnu yarukum theriyathu ... Inni karu sidhypu kurayattum manitha kulandhyaigalai kaka vandha dheyvangalae ungalai nallaya ulagam pottrattum....,,,,,,,,,,,,,,,
Full interview patten ada yenna kandravi uravu idu,,,,,,,,,,,,,,,
unnatural phenomenon eh ei kaatuvaasi poi mothala padichu thola ....muttaal,,,,,,,,,,,,,,,
Ipdila pesi pesi than Mel Nadu culture ah kondu vanthu Nadu nasama pogudu???? Oru anuku oru pen ithan nature.....,,,,,,,,,,,,,,,
Rendume thappu than appadiyum puriyala na nalla ponna ah pathu marriage pannikonga sis,,,,,,,,,,,,,,,
Aniyayam Ellam nyama pesitruku,,,,,,,,,,,,,,,
virupam virupam nu solriga manusan virupam yepo yepdi venunalum marum athukaga ellathaiyum matha mudiyatu... LGBTQ ithu oru perumai illa oru siralivu ... Paru ma ne ambala pola dress panikalam hair cut panalam ambala pola oru Penn ah kavithai paesalam but nee ambala pola than not a man ... I think you have gender dismorphia ...,,,,,,,,,,,,,,,
Unaku aids vandhuruchi pola olunga iru...,,,,,,,,,,,,,,,
Gotha neethandi Indha naatin sabakedu gommalakka ungala mothala kollanumdi thevadiyalugala chai😏🙄🙄🙄🙄,,,,,,,,,,,,,,,
Intha speech supera,aruvarupa irukuthu,,,,,,,,,,,,,,
Unngala thiturathuku Ethuku  documents ; Lesbians  life long  sagara varaiku onna  vaala  mudiuma??? ; Illa  Entha  Oru  aan  uthavium  illama  oru  child  ah  pethukka mudiuma???? ; ; Next  generations ku  Nalla  example ah  irunga  Pls ; ; Aarva  kolarula  Adutha  santhathikal illama  pochina manitha  iname  irukathu,,,,,,,,,,,,,,,
Avanga avanga life  avanga avanga  istam virupam nu  solli  yellaraum  yeththi vidathinga Pls ; Oruthannuku  pakara ponnu kuda LA sex  vachika  virumpam avan poi  pannita enna aagu naasam tha ; Epdi Vena irukala nu irukarathuku per  life  Illa  ipdi tha irukanu nu  Oru kattu paadu Venu  ; Ithula  ne Science  Pathi Vera pesara   hmm  apdi na  first  Ne doc kitta poitu  full body checkup;  pannunga  Oru ponnunku ponna patha  love  varuthuna  Ungalukulla  hormons  problem irukum  ; Ithukuda theriyala Neela science Pathi pesara,,,,,,,,,,,,,,,
Homa sex panuravagal oirda eruka kodathu shathu poidungal,,,,,,,,,,,,,,,
Interview yedukkara ponnu konjam ; carefula irunthuko , ponnungaluku ponnungalae paathukaapu illa 😂😁😅😅,,,,,,,,,,,,,,
Indha mari thevidiyavalam adiche kollanum,,,,,,,,,,,,,,,
Ippa population controlnda shock avrala mark my words innum sila nooru varudangala manitha iname alingirum hahaha BY THESE PEOPLE,,,,,,,,,,,,,,,
14:50 The****ya naye un amma paavam avangakuda un life ah compare panra... Ne than lesbian nay un amma ponbala thana... Una pethathuku itha pathangana sethuduvanga...,,,,,,,,,,,,,,,
22:38 ne periya ullaga alagi una impress vera panrangala un munjilan veliya katatha kaari munjile thuppiduvan mu**da ..chi unalan matha ponungaloda compare panatha ne ponun illa ambalayun illa intha world la eh vala dhaguthi illatha thevi**ya .....pls thayavu senji onu sethudu illana vera country ku poidu india ori traditional aana country una mari olukam illatha nay lan intha iruka vena.. And i dam sure una pethathuku un amma, appa romba feel panuvanga... Chi aalun mandaiyun.,,,,,,,,,,,,,,
eval etho Oscar award waangierukaal paa.rajith peruma padurathiku . kaama thuku alaigiraa naai eval,,,,,,,,,,,,,,,
Apdiyae un amma akka thangachi koodayum ipdi than irupiya? Ithuku thooku potu sagalam, panrathu thevudiyathanam, itha correctunu solluriya, un parents sari illa, illati unnalam inneram poison vachi konnurukanum,,,,,,,,,,,
Mam man.. girl girl.. na man girl edhukku da.. ; Man man kitta enna irukkum? Girl girl kitta enna ma irukku? Sathiyama yen ma lusu mari paesuraa,,,,,,,,,,,,,,,
Nattula irukura prachana pathadu nu.. ivalunga Vera... Koduma da Sami.. 🤦. Nadu innum nasanama pogapodhu. With these kinda people.,,,,,,,,,,,,,,,
Pakathula  ponnu  sit down panna  moochi Vida  mudila ya ; Adiye  ithu  puthuvitha  pirivi pola iruku ; Already ; 1.Man ; 2.Women ; 3.Translate ; Nenga ; 4. ???,,,,,,,,,,,,,,,
Chi karumam... Ena di nyayam pesura.. naadu naasama poirum Di... Culture poirum ena pechu pesura ne unga Amma vum ponnu dhan marandhutu pesadha.. chi saavu di poitu..,,,,,,,,,,,,,,,
Enaku oru doubt iva aambala ya ila pombala ya?,,,,,,,,,,,,,,,
Nan kekaran... Iva vaaila en poola vita ena...????,,,,,,,,,,,,,,,
Yaa muthavi unna patha pombala Mari illa ambala marium illa,,,,,,,,,,,,,,,
Unnalam thirutha mudiyathu, sethupo...,,,,,,,,,,,,,,
Oenga appan ,oenga amma kuda padukama irunthuruntha ,ne eppadi pesiruka mata....,,,,,,,,,,,,,
Yadi thevadiya ...Niraya sexual disease varum di ....Medical field la poi paru....,,,,,,,,,,,,,,,
Oenakea yethavathu noi erukum di ...Poi check pani paru.....,,,,,,,,,,,,,,,
Intha 9 pundaitta ; Kavalthurai kaasu vaangittu; Kantukkama vitrum ; Athan avanga rajiyam nadakkuthu; Kavalthurai vedekkai paarkuthu...?; Kavalugku theva kaasu thuttu Mani Mani......?,,,,,,,,,,,,,,,
Kadai vechu nadathura middle class people ku theriyum ivanuha paduthura paadu paavam nu ninaipom but idhunga overaaa aadum,,,,,,,,,,,,,,,
Yen da public ..vedekkareaa pasanga thaaan 9 b; Veeda  kevalam...,,,,,,,,,,,,,,,
Seruppala adingada intha thevidiya lungala😡😡😡😡😡😡😡,,,,,,,,,,,,,,,
Ivalukala ulla thookki pottu ladankattanum.... Thirunangai na nallavanganutha kelvi patrukke ipdi oru ampalaya bus stand la vachu asingapaduthuranga,,,,,,,,,,,,,,,
Yan vedikkai pakkuringa pottaingala,,,,,,,,,,,,,,,
Back side la kuumii adikaravann,,,,,,,,,,,,,,,
Iipade patavagala oru sela  nalavagalum paadekudu ada ichi iduku sethudalam,,,,,,,,,,,,,,,
Mathavanunga epdi tha ipdi onnume nadakatha mathiri irukanungalo..... Anga ukanthiruka matha potta pasangalaum serupala tha adikanum... Ena nadanthalum oru mayiru reaction um illa... Chaaaaa,,,,,,,,,,,,,,,
Ivalakku nalla seruppadi kodukanum,,,,,,,,,,,,,,,
Number thevidiya laatum pesara,,,,,,,,,,,,,,,
Oh niyum 9 ah 😑😀,,,,,,,,,,,,,,,
@Ashok kumar  un poola kammipiya oombra,,,,,,,,,,,,,,,
Seruppala adichu verattanum,,,,,,,,,,,,,,,
Ellam potta maari pathutu irukanunga ,,gommala ,avala kathulaye rendu potu oda vedanum,,,,,,,,,,,,
Mendal  9,,,,,,,,,,,,,,,
First Anda Allu ena varthai kettan first podungada.  Ivanga pesuratha mattum eduthu iruga,,,,,,,,,,,,,,,
Sava adiga indha nayegalae thirunagai bastard's,,,,,,,,,,,,,,,
Oda vittutu soothula okkanum ivalungala,,,,,,,,,,,,,,,
Saniyanungala savadikanum ithungala intha Uzhagathula irukanum nu thevaiya illa,,,,,,,,,,,,,,,
Entha Mari aravaningala seruppala adikkanum entha Mari prachanai Ella edathulayum erukku pothumakkalukku pathukappu    illa,,,,,,,,,,,,,,,
Fact fact idhukalam chaiii... Paavam aadhugala thittakudadhu samy kanna kuthirum vaaya kuthirumnu solli makkal muttal thanama nampitu irukaga... Bus stp la idhunga tholla thaanga mudila👿👿👿meratti kaasu vangudhunga jenmo... Sila per alaga velaikku poi polaikuraga... Sila jenmongatha ipd meratti kaasu vangi polaikudhunga... Adhum pasagata tha vaai pesunga mairuga..,,,,,,,,,,,,,,,
Idhunga maariyadhaya idhungalea kedudhukudhuga saniyanuga pesudhu paaru dash mathriii idhukalalam saavatikanum... Saniya saniya aambalaya yepd pesudhu paaaru mudevi,,,,,,,,,,,,,,,
Evalungala adichi kollanum😡😡😡😡😡😡,,,,,,,,,,,,,,,
9 thevidiyalukku evalo thimiru😡😡😡😠😠😠😠😠,,,,,,,,,,,,,,,
Vailave mithikanum intha naigala.,,,,,,,,,,,,,,,
Entha Theyvitiya va ellam Seruppala atikanum,,,,,,,,,,,,,,,
intha panni galukku Vera velaye illai kasu illenu sonna yetho asingama panranunga kaval adhigari nadavadikkai yedukkavendum ivangalai siraiyil tallavendum,,,,,,,,,,,,,,,
Ival oru demon alleevin arambam,,,,,,,,,,,,,,,
Intha ponnoda Appa Amma sollamataga polla, ivala la interview edukuran parru, avan pinja serrupula adikanum,,,,,,,,,,,,,
Comments lam podalam , onna onu mattum pannanum thoonuthu kaarrri thupuna pola iruku ....,,,,,,,,,,,,,,
Nega lesbian ah?  yen boy getup la irukiga?,,,,,,,,,,,,,,,
Tamila aluthama pesuna , thabu sari Agatha, it's against human nature,,,,,,,,,,,,,
Abdulla Abdulla unmai than.. un mathamum, un thai thathaiyum kude pirarai kevalam padutha kuthathu soonnathu than? Appuram nungge yen ippadi pannuringge?,,,,,,,,,,,,,,
Indha thevdiya pasangala thukila podunga,,,,,,,,,,,,,,,
malini niga panrathu rompa thappu.niga oru ponna irunthutu ennoru ponna thappa papingala.oru ponna eruntha ennoru ponna friend a than ninaika thonum.ana niga solrathu rompa thappa ethukku.entha ulagathula porantha yella ponnukum kadaul oru annai porakka vachiruppanga.athe mathiri oru anukum oru ponna porakka vachiruppanga.nama avagalatha marriage pannikanum.nigale sollunga entha ulagathula ulla yella  amma appaum niga panra thappa panniruntha niga aprama na entha ulagathula ulla mathavanga ellam  poranthirukave matom.plz konjamavathu purinchika try pannuga.,,,,,,,,,,,,,,,
Ivala laa  Paari saalan, healer baskar, rangaraj pandey maari aalunga dha interview edukanum.; Lgbt avanga avangaloda thanipata virupamna oruthana naa kola panitu, kola pandrathu ennoda virupam, kola panna enaku sandhosham kedaikuthu nu solla mudiyuma?  Indha lgbt feelings genitical eh kedayadhu nu doctors soldranga Inum adha yaarum prove um panla. Iva edho sadhicha mari thimira pesrarhe pathale romba kevalama iruku, paavama iruku.,,,,,,,,,,
Nan ketavan dan ana indha mari kevalamanavan lam ila .....evlo age varaikum dee otha lesbian panva sollu ?? Homo sexual panrathu la ena inbam otha mental .......nee ena perumaiya knowledge  person ah irundalum periya iduva irundhalum thavaru thavaru dan ......40age la unkuda 40age aunty varvala ?? 60 age la uai kapatha 60age patti kuda irupangala ?? Rape panran avan tappu dan apo avanai manikalama ?? Apdidan neyum otha,,,,,,,,,,,,,,,
UNGA APPA ENNORUTHA APPANODA SEX VEACHA NE VANTHA,,,,,,,,,,,,,,,
UNGA AMMA ENNORUTHA AMMAVODA SEX KAAGA IPA OODI PONA OK VA .ILA COURTLA POI UNGA AMMAVAIUM ENNORUTHAVANGA AMMAVAIUM SEATHU VAIPIYA,,,,,,,,,,,,,,,
Adi poriki munda ne director ha,thuuuu unaku abalayae kadakalaya, angal kuda dha palaga mudiyadu nu nanacha,epo girls kuda kuda free ha iruka mudiyadu pola thuuuu,,,,,,,,,,,,
Oootha bwoods kana ku*************************kallllla ampla pomala tha yathuiku da inthamathre interview pandringa,,,,,,,,,,,,,,,
ethu ponna paiyana.....puriyavey ella,,,,,,,,,,,,,,,
Na onnu solra ennadha homosexual nu sonnalum adha nature Ku edhiranadhu adha Tamil culture kedayadhu,,,,,,,,,,,,,,,
Modhal poi hair valarthi chudi pottu oru ponna ir oru paiyana love pannu unnnna year keakka pora,,,,,,,,,,,,,,,
Ithu Oru decease,,,,,,,,,,,,,,,
summave oru girl nammaku set aaguthu illa entha naai pannura welaila namma single than life puura wesa onnan .  evalum abirami yum same sex kaha ethuwennunalum pannuwalunga kaama pidaari,,,,,,,,,,,,,,,
Naan pudicha muyalukku moone kaal.idhukku mela onnum solla mudiyaadhu. Pennurimayai patri pesiya Bharathiyin nilai yennavaaga irukum. Idhey samudhaayathil pengalukku kalli paal koduthu konru pengalin yennikayai kuraithu ippodhu ivargalum pengalai kavardhaal Aangal veru vazhi inri homosexual galaaga maarum nilai yerpadalaam. Yenna porutha mattum idhu iyarkaiku purambaanadhu. Indha panbu mirugangalidamum illai idhu iyarkaiku maaraanadhey.,,,,,,,,,,,,,,,
ivalukku pundathan theva,,,,,,,,,,,,,,,
Nee nalla nakkudi pondaiya adding,,,,,,,,,,,,,,,
Hey thevidiyaaaa pasagalaaaa ithulam oru allu ithulam oru visayam nu ivalaaa kuputu interview yedukurigaaaaaa potta pasagalaaa....nadu laa pesaa vendiyaaa yevolo visayam irukuuu... Thavaiya da ithulam... Uga family la yavalachi homova poiduva da.... Manamketa pasagalaaa 😡😡😡 interview yedukuraaa paru n@@nda,,,,,,,,,,,,,,,
Unna solli thappu ilama ipdi oru padaipa ulagathuku kodutharu pathiya avara solanum...pls god innum evlo kevalam intha ulagathla nadakanum plsssss destroy this world,,,,,,,,,,,,,,,
First ne poi olunga history ah Padi .... pudinga mathiri pesura #homosexual is against nature ...,,,,,,,,,,,,,,,
Poda hiv vantha naye . Dai evanugala petti edukara ungala thanda first adikanum. Enamo ulaga sathana panna mathiri pesitu erukan . Vaila nalla asingasiga varthu intha video va first youtup la erunthu edungada  ....,,,,,,,,,,,,,,,
@Daniel rajkumar  athu k avangaloda relationship ha personal ha vachikkonga yaarukkachum theriya pogutha enna .En velila solli ipdi pandringa ithukku munna paiyan ponnu thaniya pona thappa pesuvanga aana ippo rendu pasanga onna ponavey thappa pesuvanga polaye  intha ulagathula innum enna enna nadakka pogutho,,,,,,,,,,,,,,,
@tamil bird  evargal manitha janmagal kidaiyathu,,,,,,,,,,,,,,,
Poi Ava koothiku  nakku podu,,,,,,,,,,,,,,,
Idhellam oru polappu chiii aruvaruppa irukku,,,,,,,,,,,,,,,
Ambalaikal penna marina..thirunagainu sollanum..ethugala ennanu sollarathu...; Thirunangaigal pavam ennu avanga suganthiratuku kaga poratam seiragal..ennum kadacha paduella..😕 ethula ethu verra..,,,,,,,,,,,,,,,
Yaari iva veetla thanni thelichi vitutanga Pola..pechu thiramai iruku athuku ethavathu olaritu iruku,,,,,,,,,,,,,,,
Ivala evan da pethu pottaan?,,,,,,,,,,,,,,,
Inum konja neram na Ida paten nanum Una Mari aairuvhen,,,,,,,,,,,,,,,
Illuminati  Nai ; Tamil  samugatha kedukanumnu varalunga ; Dubai LA irunthu varalunga,,,,,,,,,,,,,,,
World Mendal health doctor  sonna  Inga ye kekanu  Arivu ketta mundam  ; Unna vetti thandi podanu  naye naye ; Echa  ne soldra  ariviyal ulaviyal arasiyal ah yar vaikara,,,,,,,,,,,,,,,
podi porambokku unakku penkkuriya udambu illandrathala ippadi pesura unga appan unga ammava kalyanam pannam irundha nee ella ippadi pesamatta chee naaya nee ella nalla irukka maata podi anje paisa moonju,,,,,,,,,,,,,,,
Pennukku undaana entha oru arikuriyum eva kitta onnum illaiye ......Nan unkitta nerla pesanum ...WHO ,america sonna evanunga vetha vakku nu nenaichu kiraangaa evan da america avan sollita ellam correct ..Evana kettalum america va sollitanga ...Nu ponga da dei ...,,,,,,,,,,,,,,
unga amma homosexual vachi iruntha nee yepdi poranthu iruppa naya arivu illa pannada orina serkkai kadavulukku aruvaruppana onnu naya athala unarvu vera varutha unakku naya saniyana azhiya pora nee. nee yenna kattu pada irukka naya oru aanum aanum oru pennum pennum irukkuraththu thappu d naya,,,,,,,,,,,,,,,
next time wind illadha idathula shoot pannunga air sound kaadha kilikudhu,,,,,,,,,,,,,,,
Malini pls ne pera mathiko thev***ya nu... 12:53 hey naye unaku avlo akkara iruntha Anadha Aasaramam vechi kolandhaingala pathukoyan athu unala mudiyuma illala.. unaku sex venun athuku ipdilan pesitu iruka un amma appa una mari ipdi nenachithangana iniki ne irunthurkavemata...    7:20 hey theru poriki naye serupala adipan church la irukavanga kuda una compare panana ne oru thevidiya avanga kadavulukaga kudumba life ah vitu kuduthavanga but ne sex kaga alayira theru nayi.. Yes animals homosexual than neyun nay than athan homosexual ah iruka....pls sis doctor kita poi counseling treatment eduthuko illana sekrama mental aaiduva... Sry una sis sola kuda aruverupa iruku.... Appa amma family traditional ithalan soli kuduthu intha naye valathu iruntha ithu olunga irunthurkin ithu ithu vara ethana per kuda poiruko athan public la ipdi pesthu....,,,,,,,,,,,,,,,
Neeyum ungothalum pannungadi devudiya,,,,,,,,,,,,,,,
En di thevidea Munda nee epadinalum valnthuko di pund.....athu un istam un urimai di en di nall eyarkaiya valravangala en di thappa pesara di pund.....kilichida poren di engala pathi thapa pesana naanum unna pesathan seiyven athu en urimai,,,,,,,,,,,,,,,
Thayavu senju kekuren ithapathi petti edukura naaye itha pathi nalla padichittu ithula knowledge la valathukittu poi Ava kitta petti edukanum thayavu senju purinjikonga available pesavittu mulikathathinga Ava pesara varthila irunthu avala 1000 question kekalam etho mundam nikaran itha petti eduthavan 377 court sollidichi athu avanga urimai ethukuren ana Ava namma urimaiya pathi pesumpothu naama en pesakudathu athan    naan solren,,,,,,,,,,,,,,,
Ivallam oru aalupunda nu petti edukaranuga,,,,,,,,,,,,,,,
Romba talenta pesuratha nenapu,,,,,,,,,,,,,,,
oru mayirum theriyala indha loosu koodhikku aana yellathayayum karachi kudichamari sooththa aatti aattinu badhil solludhu idhaiyellam oru mayirunnu nenachi petti yedukkaradha vittuttu ava iduppula yetti oru odhaya vitta moodittu summa iruppa dappa koodhi,,,,,,,,,,,,,,,
loosu koodhi munda modhalla yenn kelvikku badhil solludi oru pennum pennum thangaloda pennuruppa nakkikkiradhudhan unakku sexunna appo kadavul pengalukku maadhavidaya yedhukku vachchar oru aanum aanum thangaludaiya aanuruppa sappikkiradhum aasana vaayila aanuruppa nozhakkiradhumdhan unakku sexunna pinna kadavul yean vindhu yendra ondrai padaikkanum nee yenna kadavulaivida adhigam purinjavala oru penn innoru pennudan sex vaikka virumbuvadhum oru aan innoru aanudan sex vaithukkolla virumbuvadhum oru vagaiyana manachidhaivudhan adhavadhu nee oru mental koodhinnu artham unnoda bodu language modhalla normala irukkannu neeye unna kannaadi munnala ninnu paarudi,,,,,,,,,,,,,,,
Tamil Malaysia TV nee saavuda porikki naayae naan aambala da,,,,,,,,,,,,,,,
@kadhir s  avana nee parathesi poai saavuda,,,,,,,,,,,,,,,
Tamil Malaysia TV poda pundai payalae,,,,,,,,,,,,,,,
Sudharshan AJ why mental your mental man,,,,,,,,,,,,,,,
4.5+4.5=9 eval oru,,,,,,,,,,,,,,,
Crt sis .neenga soldrathu ellame crt. Bible la potrukku idhu thappunnu  aadham eaval ah paathathu jesus or other God na homosexual persons ah uruvankki ulagathukku kondu vandhathum God thana. God creation ethuvume thappanatha irukkathu ellame oru plan irukkum adhukkaga adha support um pannathinga romba keavalamaanathavum pesathinga. Adha adhoda pokulaye vitrunga plsss ungalukku pidikkalaya adhu unga opinion neenga adha pannathinga but adhukkaga mathavangala thitrathu commend pandrathu unga duty illa. Okay that's it,,,,,,,,,,,,,,,
Ennaaa kodumma Sir ithu?,,,,,,,,,,,,,,,
podi thevdiya munda,,,,,,,,,,,,,,,
anga pesaraveenga antha person romba buthisalimari pesaranga. ana ithanudaiya villaivu ennanu ungalluku aparamthan theriyum. please intha mathiri pannatheenga intha asigatha pannatheenga. stupid mari pannatheengga. ithaellam godnu orutharu pathutu irukaru. avaru kandipa intha manuchana padaichathuku romba kavala paduvaru. god (jesus) ungala thallivachara . neenga ithaellathuku ungaluku mula use aguthu. ana ungalukangayum orutharu irukarunu neinaika. manuchan yethukumae laikae illanu adikadi neenga proof pannireenga. please thaiava seichu stop pannuga. avangala yenkita vanthu pesa solluka. jesus is coming soon,,,,,,,,,,,,,,,
Ne ambalaya illa pombalaya,; Pakka ambalamadhiri iruka ana voice bombalamadhiri irrukku,,,,,,,,,,,,,,
olagam  aliya  poradhuku eduthukattu  idhulam,,,,,,,,,,,,,,,
kandipa  world  aliya  pogudhu,,,,,,,,,,,,,,,
Ithukku support pannathingga,,,,,,,,,,,,,,,
Nee Aanaa pennaaa?,,,,,,,,,,,,,,,
Unaku ithu correct nu solla urimai irukuna nature ku against ah iruku nu solla engaluku urima iruku,,,,,,,,,,,,,,,
indha nai ku.......veara....veala.....illa indha character ampalaya...pompalaya ney tereyala....taan peasuradu tappanadu nu kuda tereyama...loosu matre peasiki2 irukudhu naiii naiii😡😡😡😡😡,,,,,,,,,,,,,,,
Unakku venuna....nee pannittu poda-podi....intha samoogam eppadi irukka vendum endru nee sollatha......,,,,,,,,,,,,,,,
