Comments,Label
 vairamuththu va  kora  soldriya da       echa thevdiya payale          ungotha unna olugka valathurundha ipdi tn ha asigka paduthviya       nee dhan da dasi paiya     nee dhan managketta echa raja hiv raja kedukatta kudumpathuku porandha ali  ,Misandry
 irundhalum indha ponnungalukku alachal adhigam     ,None-of-the-above
 ithula clear ah lesbian gay pathi sariya sollala,None-of-the-above
 raja selvam  hii ok  number,None-of-the-above
 appa amma soldravangala than kattipom k va and inga ponnugale kekkuranga,None-of-the-above
 cassia     apdiya ponunga matiri kevalama yaru inga avlova ila,None-of-the-above
 raja unnaku oru nal eruku,Misandry
 priya kannan ennakku theriyum akka,None-of-the-above
 gh wb  u pondatti pundaila en pola vidava    ungomma punda naaruthu,Misogyny
 vera level bro indha video kaga vae neenga nalla nelamaiku povinga nanba it s trueee ,None-of-the-above
 pandiyan p     cudallour ok number tharuvigala tharamattingala solluga,None-of-the-above
 she doesn t look like transgender beautiful ,None-of-the-above
 neenga soldrathu enaku auvalavu puriyala but ram eyes la pain iruku  paavam neenga  ,None-of-the-above
 othu saapdra braman udambu unna maadhir dhaan irukum,Misandry
 kumar laxman  potta sangi punda vaya modu,Misandry
 over seen podudhu  normal a pesadha,None-of-the-above
 ayya thanthi tv porumpa bethiya kelapathapa    ni pesarathulaya bayanthuta pa    ,None-of-the-above
 yaarumay ponungala marriage panadheenga  apodha marriage nadakalanu evalungalavay namakitta varuvaalunga,Misogyny
 perumal kubuduringa but non veg tha neraya sapuduringa,None-of-the-above
 dei neengaluma part      nu poite irupinga pola,None-of-the-above
 ji vera level enake aluha vanthuttu,None-of-the-above
 antha  aunty ya matu oru interview edunga pothu correct ta kekuranga,Counter-speech
 paavam vidunga enna panradhu avunga nelamai apdi      ,None-of-the-above
      itha panniruntha nallarukum     avanga nee paka paiyan maari iruka     you neengalum paaka ponnu mari than irukinga nan nambalaya       sorry    ,None-of-the-above
 s not only bramis pengalana yengalukkuke ippadi oru pen jenmamanu avamanama irukku,None-of-the-above
 muttal people ku ide pathi ebdida tedium poor india,Xenophobia
 ishvar mahendiran apram avanga pesuna mathuri innaki judgement illegal affair legal ayiruchu   yepti ithuvum oru thani patta manusanoda feelings nu support pannunga     apo kalam fulla nee enaku nan unaku nu commit anavanga roadla pogatum      ,Counter-speech
 kondal thokala  tamil language  ah,None-of-the-above
 h raja oru hiv payan avanga urula vankittu vandhu naama tn la vida pakku ra hiv  raja,Misandry
 mr gopi last episode la neengatha ponnunga v la ithellam venumnu kekrathu thappunu sonninga       ipo yean maathi avangaluku support pandringa       yetho nadanthurku       ,None-of-the-above
 educated parents ah ipdi panna village la erukaravangalaam  enna pannuvanga   en vaazhkayum veenagi vidumo     yaaravathu intha kevalamaana society la eruntha enna kapathunga im gay vittil solla mudiyatha kastathula eruken    ,None-of-the-above
 tai tagapan already ungeleh enteh bumiki kondevantageh so   how can ask varathrchanai pls laa sis don t ask naragavasal katirukum nalleh purusan nanleh mamiyar nanleh mamenar anoug pls,None-of-the-above
 anna inga insta i d sollunga,None-of-the-above
 avan keduketta kvalamana mathavere pedethavan avan manethanea ellai mental,Misandry
 dai kannaadi brother nee konjum silent aaa irunthirukkalam,None-of-the-above
 nice video bro   inga yarachu avar poturuka video pathi discuss panrangala paarunga adutha video ena podanumnu comment panitu irukanga then avar video podrathula ena use iruku,None-of-the-above
 superb bro     ella makkalukkum puriyura maari rempa theliva sollringa    that s the reason i subscribed ur channel    and shape ah erunka bro    unka video va chainess naaikal kuda paapanuka    ,None-of-the-above
 wife pechaketta sosaityla neengathan hiro  kekkaty neengathan  jiro ,None-of-the-above
 samyamy samyamy  unna maari kiruku pundayala thaa ella tamilarayum kenayen maari paakuraaga missionary thaili,Misandry
 un moonja first kannadila paruda pea poo,None-of-the-above
 thala  nee pesama  intelligence agency ku poirala thala       vera level ah irukku     ,None-of-the-above
 parents convince  panra scene la acting super  ,None-of-the-above
 aei   loosu  un ishtathuku pesathay,None-of-the-above
 evaru antha orru raja b ss,None-of-the-above
 remo darlu  appa vaaguna loan na available poradhu passaga dhan ponnuga illa adha purinjikoga  ,None-of-the-above
 gopi nalla oola vela paaru da unaku  idhu oru polapa da indha lechanathula be advice p  a vera stage la kudukura  ,Misandry
 nikhil raj  dei joker thayoli,Misandry
 prabhu prabhu  avanga kannadi potta unaku ena   pakka mudiyalana apadi orama ponga    life na enanu konjam sollunga   ,None-of-the-above
 shrinivasan kannan  bro naa yenna solla vanthey naa    avanga independent naamaye  kindal pannanum      avanga la  avamaanam  padutha num    unga vittla eppdi nadanthaa ni ungalukku yenna sari yaa thonu tho atha pannu ga    mattravarkali  keli    kindal   tharkolaikku   avanga la utpaduthaa thinga nu thaa sollren    ,Counter-speech
 rajaji joined anna in      election ,None-of-the-above
 ivanungaluku ithe than polappa    virus ah ini kandupidikama sudukaadu count increase pannunga ini  ,Xenophobia
      a  i was replying to prasanth   sariyana eethara    andhamma padikalana enna  avanungalku irkra common sense padicha muttalungalku illa,Misandry
 nalla nadikiran pa vera leval,None-of-the-above
 rajeswari amma avanga apdi peasnathuku sorry oru silar apdithama nanga ellorum work panrom train  kadai vasul ellam porathu illa,Hope-Speech
 gopinath sir kku jey           ,None-of-the-above
 gud but ipdi adavadi panna   elarum  ena nenaipanga nu   yoschi konga,None-of-the-above
 nee naan aval               niga asapatu katatha husband vagitharagala sis,None-of-the-above
 tyevidiya movana h     raja   vaira muthu pesuna havana  mattum pesu thevidiya paya,Misandry
 bhavani murali  ok u from age,None-of-the-above
 december    tsunami varuma varatha bro konjam sollunga,None-of-the-above
 jeni ma it s welcome unga whatsapp number kudunga join pannanum         sagothara,None-of-the-above
   thevidiyas   poi vela senji sapdungade loosu koothiss   ,Misogyny
 enadhu transgender a     nenga solalana therinjirkadhu dha    she is beautiful   ,None-of-the-above
 dai raja pesurathu crt da     ungaluku enada theriu hindhuism pathi    pongada    vairamuthu periya pudungiya   avan ena periyar  kalingnara   avarkooda ipdi pesnatjila da,Misandry
 broo i love u bro sema    antha manasu than kadavul ,None-of-the-above
 pika reviews   dei madhavadha jaadhi veri pidicha sunni   pudikalana sootha mooditu poda  ,Misandry
 sariya sonninga bro   nammada naddu visiyam eallam avangalukku thane payan peruthu,None-of-the-above
 ayesha sumaiya  hello naan avarai sonnen pa   ungalai sollala  ,None-of-the-above
 kantha kantharaju  pon namer sent,None-of-the-above
 nee yaru pa    semma voice dear,None-of-the-above
 nalla message sir your wonderful vilakkam ,None-of-the-above
 producer kalanidhi maaran daughter  kavya maaran madiriye irukangalla    ,None-of-the-above
 k sandy sandy  i m slim sandy you age number kudu bro,None-of-the-above
 na kadanla pangu ethupa     i am a single daughter for my dad    ,None-of-the-above
 yan s nniku poranthavanua  h pun  ,Misandry
 poda thevidiya mavanei h raja correct ta thaan kekkuraan,Misandry
 rajesh r  instagram la kavi nee en id vanga,None-of-the-above
 dei muthevi    naduvula onnu sonniye   sudarkodi  nu athuvay iyya vairamuthu kavithay da naye,Misandry
 appa kadan la pagu kekuravaga romba peru erukaga especially girls,Misogyny
 vijay tv oru fixing punda,None-of-the-above
 mybro  saadhi earuku  naa anbavchirukan and like to gay becaus freedom  and feasful life ,Homophobia
 inga evlo prachana poitu irukku oruthan ethum thriyathamaari headset potrukkan parungale,None-of-the-above
 evalugala kuduimbam nadatha maitaluga pola,Misogyny
 dei oc biriyani thinnutu kaasu kudukkaadha rowdy dmk katchi thayvidiyaa payalay  un payrai ombodhu kuttinu vachchuko di  thooooooo ,Misandry
        serupala adicha maari sonninga  ,None-of-the-above
 balakrishnan k  ange ukkanthu irukkura ammbalaingalukkuthaan  bro,None-of-the-above
 etchai raja vairamuthu mairu kuda unnalla pudanga mudiyathu,Misandry
 veedu aen kkraanga means once hubby veeta vittu poga sonna ava avoloda veetla irukalaam so,None-of-the-above
 naan sri lanka la irukkan,None-of-the-above
 muthu manuel  neenga valaravae mateengapa  ,None-of-the-above
 loose paya   parpan h raja     soru thinura raja   ,Misandry
 wow    cute     indha madhuri wife kedaika niga kuduthu vechurukanum,None-of-the-above
 rajeswari rajeswari   na four daysa feel panren pa i am sad    ,None-of-the-above
 baby time iruntha yenda or u  naal stay panuvingala,None-of-the-above
 dmkjambu lingaa   ok manaviyai mathippom  malai pola valgaiyil uyarvom      ,Hope-Speech
 magi priya  it s okay maa no problem,None-of-the-above
 siraj raja  pon namer sent me,None-of-the-above
 bro itha thappu nu solra avanga athukku yen sollution ha sollala,Counter-speech
 pandiyan p  ok bro but neenga gay va bro   ,None-of-the-above
 h raja vazgha   bjp vazgha    vande mataram    jai hind   tamil vazgha    ,None-of-the-above
 i support h raja sir,None-of-the-above
 echa poriki thevidyaa paya raja,Misandry
 china va aliens nu solli thalli vainga    usura vaangurananga,Xenophobia
 yes yes yes yesyes yes yesyes,None-of-the-above
 oru pooolayum ompaaa mata poda,Homophobia
 enga da pogudhu indha ulagam,None-of-the-above
 vetti payaluku velai kodutha    vetti pechu pesi   veen pozhuthai kazhipaan    gopinath pala varushangaluku munnaal oru velai vetti ilaatha payalaga thaan irunthaan ,None-of-the-above
 kulasai kulasai  correct ah sonninga                                                ,None-of-the-above
 yannanga kelikaptar konsham manasulla yoscikaveyanamaa  ,None-of-the-above
 ur hard work can t dies bro    vera level bro,None-of-the-above
 behindwoods please ivalai maari aalugalai interview paanathiga,Misogyny
 love u cikku god bless u ya      ,None-of-the-above
 everyone targets hindu bcs namba mutal pasanga tamilan nu solli nambala emathiduvanga,None-of-the-above
 don t mention transgender in subtitle,None-of-the-above
 austin shaji  nan enna thappu pannen ,None-of-the-above
 akka   ni   en kuta  perakkalannu   fell  panra akka,None-of-the-above
 avanga ellam kadavul mathiri anna,None-of-the-above
 nice cute such movie     ,None-of-the-above
  sathiyam  aluthutan ya vara level bro       part   waiting  ,None-of-the-above
 na aluthaley en purusa nadikatha nu soluvar   sathiyama avlo valikkum nampa kanneer ku kuda mathipillaiya nu   kalynathukku munadi alugaye pidikathu    bt marriage aki rmpa aluthen thinamum alutha   elathukkum karnam avara rmpa pudichathunala namaku rmpa pudichavunga cinatha thettna kuda rmpa valikkum athu kanneeravo illa kovamavo veli padum avlodhan   apdi vara kannerra nadipunu sollathinga yarum   unga amma kannula kanner vantha nadikura nu solvigala  ,Counter-speech
 evnguna nala ella nadu nasama pogathu    avangula appdiya poti tharilnum serkma     america pls close china   f ,Xenophobia
 indha video ku negative ah comment panna yarum satheyama mirugatha veda kevalama naaa indha society a nasam panna porambokka thaaaa iruppa,Misogyny
 raju rajan  ada ethukku nu solunga            ,None-of-the-above
 bro semma bro neenga moviela try pannunga bro  tamil medium pasanga      ,None-of-the-above
 pooodiii loosuuuu overloaded pooo loosu,Misogyny
 ipola yela frank chanalum part parta eduka arambichudinga      but irunthalu sup bro    keep rocking ,None-of-the-above
 venumuna pesa theriyathavanukala okara vechu    antha ponnuga pesarathu pura neyam mathiri kodu poirukanuga echa vijay t v,None-of-the-above
 covit la tha update update ah vituragana ithu enna update    ,None-of-the-above
 idhu edhuku da ipo recommend aichu enaku,None-of-the-above
 sappaa ithu ulaha nadippu da sami,None-of-the-above
 elon musk pathi video podunga,None-of-the-above
 raja oru mental  kedukettavan,Misandry
 idhaa pakarappavey kannula thanni   nikkudhu  rmba proud ah irukuuu ,None-of-the-above
 unaku ennada enga natula vela vairamuthu thamil natin vairam  unnala ellada evannalaum oru   mayirakooda pudunga mudiyathu mooditu podii potta   koo    ,Misogyny
 a p  ungaayaa vellaikaranukku koodhi virichchu ungoppanai peththaa   ungoppan oru ombodhu pundai mavan   ungommaa pundaiysi moothira satti kannada thayvidiyaa payal evrawnaai oaththaan   oththaa  vellaikaranukku koodhi virichcha vandheri convert christhuva thayvidiyaa mundaiyin vaarisaana neeyum un vaysi madhamum desa droagi kumbal  thoooooooooooooooooooo  nee oru eenapiravi  oththaa  un pondaati ponnungalai kooti kuduththu pichchai yedukkira porambokku pannadai ombodhu maama payalay  un ombodhu pundaiyai mooditu po di loosu koodhi ,Misogyny
 bro make video about albert einestein,None-of-the-above
 pongada yepadiyum marriage ku cast pakuvinga chi,None-of-the-above
 mubarak ali      neega entha ooru sir,None-of-the-above
 girl evalathu pannuganu kekkuthu ethula enna thavaru irukku iruntha panna poranga avan pillaigal thana  ,None-of-the-above
 corona virusa maraika china nadathum madakam ithu,Xenophobia
