Comments,Label
dear etv variki  dear gnapika entertainments variki  dear ali gariki  sir adivi sesh gariki  madam saiee manjrekar gariki ,0
telugu lo sesh chala intelligent screenplay writer  chala talent vundhi manodiki,0
ma kharma  rastani palinche mantrulu malla reddygangulatalasani meeku oka dandam ra babu,1
gudivada king true leader,0
elders ki respect lekunda matladina vaadu oka hero,1
power loki vachaka prajala paina kallu petti thokkutharuu,1
assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,1
miru chala great man simham munduku kukkalu ravu sir love you soo much bratiki konnirojulaina ilane vundali love you,0
super sathi garumee action superbchala enjoy chesthunnamu,0
arey budder khan nuvvu asalu ,1
venki anna yekkada unna haa joshi veru,0
"permit room lu enduku pettirru 
thaginanka oka beer tho aguthara",1
kaveri jah kadu ra adi evarro kudo teliduuu jafa,1
wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,1
manchu laxmi lo andam ekada kanipistunde raa babu dabbu unte stone kuda diamond laga kanipistunde,1
meru devudu annalife long meru healthy ga undalani devudu ki pratistunna,0
samba shivudu great humanity person,0
wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,0
konchem odd ga behave cheyadam kadandi pitchandi edi,1
eme thagi matladthundemo,1
andhra lo roads veyandi babu koncham accidents avthunnai vehicles anni damage avthunnai krishna and west godavari roads aithey mari worst,1
youtube vedios konni follow ayyedhanni tharwatha bb house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer all the best for your future shanmukh 💐,0
prajala samasyala gurinchi okaru kuda matladaru kadha nice ,1
ayithe life politician kavali ra babu,0
jagan paapam pande rojulu dhaggara paduthunnayi  vasthunnayi vasthunnayi manchi rojulu vasthunnayi,1
idemi daridramu ra anna  assalu bharincha leka potunnamu veellaku emaina buddhi gnanamu vunda vella iq enta mott amur family kalipi chusina   daatadi emo,1
adhikaram vunte thuglak gadu emaina chesasthadu,1
agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,1
chi maarandi e trolls chusaina public feeling telusukoni masalukondi,1
nijam ayyina reddlu tdp ki support ga undali,0
me vally telagana eroju ela vundhi sir ma andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,1
mata tadabada kunda clear ga ktr sir matalu super,0
telangana ki manchi rojulu vasthunai ,0
big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope deepthi understands himhis smile nd eyes both r filled with pain,0
meru superr andhra gurchince koncham careing im haapy for that keep supporting,0
partial dharidrsm voddhu sir,1
okka party lo unte neevu correctchange aite ilane untundi,1
ravi teja the man behind those wonderful memes raviteja anna ki oka oooooo,0
ycp chappina matalu vinte mosapotaru jagrtta,1
vidipoyaru ana pain feel una navvuthunadu shannu,0
ippudu ee vedio choostey pichha comedy ga untundhicomedy cheddam anukoni comedy aipoyava narsiredyyyyadaki poyavayyaa,1
janame kurcho pettaru mimmalni tharimi kottaru,1
ramcharan garu mari intha introvert ha devuda decent ga unnadu fidha ntr rajamouli suma garu next level super,0
cbn maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,1
jokulu vesukoni navukunnaru eppudu andaru navutunnaru  chusi,0
vedu evavu overaction chesthunnadu child labour aa,1
pilla pu aathulu,1
velli allurjun madda guudu,1
super sir mee lanti vallu undali si,0
ah group lo nannu add chaindi mawa,0
super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,0
great sir me behavior ku na police vallu andharu me laga unte friendly policing,0
nibba ki phone istey ela untundi,1
super ga vundhi drama commen people ni sir ani kuda antara o my god this is team work guys,0
nagavalli died because of this video,1
prank lu chesukuntunaru e police gallu public ni mosam cheyadaniki,1
aatla vastai anna niku enni telivi tetalu oka cinema thi anna,0
vera level sinking sir comedy super,0
police drama is thisjanaalanu andhulo specially night time sir ani respect iche antha seen ledu,1
okkokkadiki   months pregnancy vundhi policelaki,1
acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani  nice kipet up all the best you have a great future as an artist,0
anna nuvvu chavaku యిది చాలా అన్యయంsuspense అదిరిపోయిందిnext episode వేగంగా pettanna,1
ee movie kosam wait చేసేవాళ్ళు  like vesukondiii,0
ఈ పాట కన్న  మీ మాటే బాగుంది,0
character of the episode award goes to  a master అంతే కధమ్మా రేయ్,0
hope that there is no ending in madhu character waiting for next episode in telugu with madhu again  మధు పోకూడదమ్మారేయ్,0
దేవి అడిగే ప్రశ్నలకు గట్టిగా దింపావూ గా సమాధానాలు విజయ్,1
విజయ్ ఇంత లాజికల్ ఆన్సర్స్ ఇస్తాడని అస్సలు expect చేయలేగ్రేట్,0
ఏర్రిపప్పా అవ్వడం కోసమే పుట్టిందే tv  ,1
tv  ki dula thirchestadu rgv ,1
మనం విప్పుకు తిరుగుతూ చుట్టూ ఉన్న వాళ్ళన్ని కప్పుకో మన్నట్టుంది,1
వచ్చిందయ్యా మహా పతివ్రత అనసూయ అంటేనే నిలువెల్లా బూతు ఈమె చెబుతుంది నీతులు తూ సిగ్గుమాలిన జన్మ,1
anasuya నువ్వు జబర్దస్త్ షో లో చేసేవి ఏమిటి వేదాలు వల్లిస్తున్నవా అసలు బూతులు నీ షో నుండే మొదలు పెట్టారు ,1
boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi wah wah,1
video super ayya editing super anthey ,0
edhi matharam jabardasth lo expose cheychu adult comedy cheyachu ari fikudhi,1
assalu monna vachina khiladi cinima lo anusuya matram hot hot ga ichi padesindianthe,0
bhuthulu gurinchi double meanings gurinchi nuv matladodhu anusuya plz,1
rgv గారు ఈసారి మూర్తి గారి character పెట్టండి మీ సినిమా లో,0
fan రెక్కలు విరిగే రోజు దగ్గరలోనే ఉంది,1
meeku ichindhi mamulu post kadhusvbc chairman ante manchi postmeeru daani missuse chesukunnarujagan gurinchi pk gari gurinchi kadhumeeru avakaasamu miss use chesukunnaru,1
జఫ్ఫా తిమింగలం   గాడికి rip ఎప్పుడు చెపుతారు,1
pilichi pettinchukuntaru gatv  ki eemadhya sarada ayindi,1
e tv   ki burra poyandhi,1
నాగబాబు సెలక్షన్ సూపర్ గల్లీ బాయ్స్ అదుర్స్,0
ñeela oka  hr kuda undalem sir jai rgv,0
నీ judgement కరెక్ట్ గా ఉంటాది బ్రో,0
srikanth reddy కచ్చితంగా తప్పు ఆ తప్పు చగురించి కళ్యాణి గారు చెప్పడం ఇంకా తప్పు,1
nag sir said about natraj master is absolutely correct ఆడియన్స్ మాస్టర్ గురించి ఏమనుకుంటున్నారో అదే చెప్పారు super nag sir,0
akhil shiva good players చాలా బాగా ఆడుతున్నారుi like akhil and shiva,0
vedhavalu vedhavalu anni chotla vunnaruinka janalani yedipinchadam tappa,1
టీవీ ఫైవ్ ఎప్పుడు తప్పుడు ప్రచారమే,1
byredyy cheyppadu kada ra nenu party maredu ledu ani mee moddalo gola yanti raa,1
vadu em matladuthunnado eanna artham aithe kanisam telugu translator ni pettukovachuga telugu bashaki respect ivvaru bjp vallu,1
anna nee comedy expressions baguntai,0
bro ni slang ee neeku plus point  manchi humour undi neelo elane regular ga videos chestu undu   k pakka,0
ఇప్పటికైనా ap ప్రజలు బుద్ధి తెచ్చుకోవాలి,1
సిగ్గు లేకుండా తిరుగుతున్నారు ఎమ్ ఆబివుద్ది చేశారని తిరురుగుతున్నారు,1
మళ్ళీ వైసీపీ గెలిస్తే ఆంధ్రప్రదేశ్ ప్రజలు అడుక్కు తినాలి నూటికి   ఇది నిజం,1
mla ticket కోసం పదవుల కోసమే ఈ గడప గడపకు ప్రభుత్వ యాత్ర పాపం cm గారి హామీలకి వీళ్ళు బలి,0
మెట్టు theskoni kottandi okka jobs ledu devlopmet ledu asalu డబ్బులు veyydam votes kosam pedda scam idi,1
మహేష్ బాబు ఈ రేంజ్ లో నవ్వడం ఇప్పటి వరకు ఇదే మొదటి సారి big thanks to sathi anna,0
కొంచెంకూడ హీరో అనే పొగరు లేదు గ్రేట్ సార్ మీరు,0
avatar ఒక అద్భుత ప్రపంచం దీని డైరెక్టర్ james cameron అంతకన్నా అద్భుతం ఆయన ideas కి creativity కి,0
ఉమ అన్న అంటే కడుపు మంట కేవలం వెస్ట్ candate వి నువ్వు,1
dīnamma jīvitaṁ okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa,1
"మీరు కూల్ గా వీడియోస్ చెసుకొండి
ఇ టెంక్సన్స్ వదిలేయండి",1
ravi అన్న అన్నది నిజమే అని ఈపాటికే నటరాజ్ మాస్టర్ కి అర్థమైపోయిందినటరాజ్ మాస్టర్ ఇప్పటికైనా మనిషి గ మారండి,1
ఇంద్రజ గారి ఫాన్స్ ప్రోమోలో ఇంద్రజ గారు సూపర్బ్ టైమింగ్ ,0
ravi prakash vunnappudu chaala mandhi house lloki veylli vaalla bed rooms varaku veyllaru chaala mandhi jevitaalato tv  lanja channel ani chaala mandhi cheypparu,1
matter divert chestundii ame ra hamara prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,1
​bjp lo seat kosam baga chesav le stunt,1
rgv చెప్పేది చాలా కరెక్ట్ గా ఉంది,0
ప్రతి ఒక ఇంటర్వ్యూ లో చాలా కూల్ గా మాట్లాడతారు నిజాలు నిర్భయంగా చెబుతాడు ఎవడన్నా ఏమన్నా అనుకొని నేను చెప్పేది చెప్తా అనుకునే వ్యక్తి rgv,0
theatre kellina badhitula ga ma badhalu panchukunnam anthe boothulu tittadam family ni involve cheyadam ee panchayati lu oddu amma happy ga undandi,1
annnaaaaa ekkadikellav anna innirojulu pandemic time lo ni postmortem videos tho na stress antha pogattav especially with saleem review,0
arey tv  nuv పెట్టిన పోల్ కి ఏమైనా సంబంధం ఉందా రా,1
సంయుక్త గారి యక్కటింగ్ సూపర్  సినిమా సూపర్ ,0
ippudu nuvvu cheppindi yem pikutanani news chesataru,1
ni thumbnail jathini thenga,1
puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai meetho bagu paddollu mimmalni marchipoyi undicchu sir but memu kadu love you sir e movie tho vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,0
puri raasina dialogues mahesh chepthea excellent ga set avthai,0
endhukura ayya pichi pichi thumbnails pedtharu,1
u dont worry bro aa kalyani ki dhula patti idhantha chesthundhi,1
​baga chepparumaha news is waste newsonly bjp ki tdp ki support vallu,1
​pora howley,1
కరెక్ట్ గా మాట్లాడుతున్నావ్ రా శ్రీకాంత్,0
jai kumar next nee amma nee sisters nee andharni petti prank thesthadu vadu wait,1
inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,1
​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,1
​gayathri medam super cheppinav good,0
open heart with rk కి తెలంగాణ గవర్నర్ తమిళ సై గారు రావడం చాలా ఆనందంగా ఉంది వేటింగ్ ఫర్ ఎపిసోడ్,0
రాధాకృష్ణ గారు చాలా సంవత్సరాల తర్వాత మీరు సంతోషంగా కనిపించారు శుభాభినందనలు మీకు గౌరవ గవర్నర్ మేడంగారు నవ్వుతూనే నిప్పులు చెరిగారు,0
చాలా ఈజీగా మాట్లాడటం బాగుంది her excelency గవర్నర్ madam,0
meeku governer post ivvadame waste,1
meru enni kathalu padda kcr   next cm of telangana cheap interviews with cheap abn rada krishna,1
asal mamulga ledu thop awesome,0
ah lobo ni marchandi ra babu,1
నా జీవితం లో చూసిన అద్భుతమైన వీడియో ఇదే,0
ending naku tears vachai  bro harsh sai real hero god bless u brother,0
intentionally geliki emina serious ite news chedamani,1
social media parma chetha media valu asalu vishayalu telsikounda matladam manchi kadu,1
news valu pen undani rayatam manchidi kadu,1
evadentha echaru neeku dabbulu bewerse yadavalraa,1
ఈడు కామెడీ కి తక్కువ  అడ్డగోలు వాగుడుకి ఎక్కువ బేవకూఫ్ ఎడవ,1
public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,1
over confidant ithe alage untadi super ga cheppi silent chesinav suma akka,1
suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,0
అలీ siggundali నీకు sanskaram లేదు నీకు నవ్వుతూ ఉన్న so called celebrities ki నవ్వు ఎలా వస్తుందో,1
dayachesi ali ki anchoring ivvakandi,1
suma akka u r super ni pakkana adu enduku chandalam ga,1
ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu mla ayyi emi peekutav,1
ali double meaning gaducheppu debba padali,1
ali mi wife kerala vellara ani adigithe niku ela untundhi  thappura nayana ala matladatam,1
vaadiki baagaa balsindhimind dobbinattundhikodikki,1
nuv politics loki vellali anukutunnavemo ila matladithe ninnu address lekunda kodatharu prajalu,1
nidra pothunna gaadida nu lepi thanninchukovadam ante ide dayachesi vadiki public lo mike ivvakandi,1
waste gaadu ali,1
suma gurinchi evvaru cheppanakkarledu  tanante maaku chala istam,0
deneke paneameladau vadeke paneameladunekupaneameladu raa,1
climax chala bagundhi lots of fun enjoyed a lot,0
చాలా బాగుంది బ్రో చిన్నపుడు ఇవి అన్ని మేము చేసాము బ్రో చాలా హ్యాపీ గా ఉంది ఈ సిరీస్ చూస్తుంటే best of luck bro,0
ee series mana filmymoji channel lo best series avalani korukuntuna,0
fun moji కంటే  filmy moji  లో comedy చాలా బాగుంటుంది,0
గ్రేట్ women,0
yenta spastanga ame voice undo chudandi,0
waste fellow in tollywood,1
రచ్చ లేపే స్పీచ్ చెప్పాలంటే బండ్ల గణేష్ అన్న తర్వాతే ఎవరైనా,0
నిజమే పవన్ కళ్యాణ్ అంటే ఒక వెసనం చచ్చినా వదల్లేము,0
nenu chusina all speech lo ekkuva sarlu chusanu,0
ఎన్ని సార్లు చూసిన చూడాలని అనిపించే speech,0
 సార్లు చూశానూ అయిన బోరు కొట్ట లేదు,0
na friend valla papa ki operation ite aravind gari foundation help chesindi he is really doing a commendable job,0
tokka kooda oppukonu,1
telangana lo bjp vasteneee trs aarachakaalu tagguthai police la ni venta pettukoni motham telangana ni nashanam chestunnaru,1
ktr matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame next election ki same place nunchi poti chesi deposit techukunte chalu,1
roja garu ituvanti baddu biraagilanu interview  mee dignity thagguthadi ituvanti vaaru samaajaniki cheeda purugulu,1
rajyanganni marustham ante matram thaggedele,0
arey howle nizamabad mp pasupu bord edhi be nv esukunna angi lagu kudha cangress icchindhe and telangana icchindhi kuda cangress a meeru cheppe digital india lo ni aadhar card kuda cangress tecchindhe,1
chi chi neeku anchoring evadu nerponchondofarmers ni arrest chesinaru antesafety ki antavaintha dikkumaalina answer emina vuntada asaluante anyayam jarigindi ani chepte arrest lu chestaruala arrest cheyyadam correct antava nv,1
waste fellow he did nothing for telengana,1
gundu babu esari neku gundu sunna vasthundi no winnings,1
మీ ఎనాలిసిస్ వెరీ ఇంట్రెస్టింగ్ రియల్ we listen meticulously we appreciate you,0
babu gogineni garu suereb ga chepparu,0
rk gaaru pedda kulagajji gaaru,1
నీ అభిమాని అని చెప్పుకోవడానికి మాకు గర్వంగా ఉంది అన్నయ్య i love you annayya,0
అన్నా ఈ స్పీచ్ రోజుకు మూడు నాలుగుసార్లు చూస్తేగాని నాకు నిద్రరాదుసూపర్ బండ్ల,0
miru miru okkatey madyalo fans ey suffer avuthaaru,1
dabba rayulu,1
మీరు మీ ఫ్యామిలీ తగలెయ్య ఎక్కడినుండి  పుట్టాడు రా మీ అందరూ మీరు మాట్లాడే భాష అసలు ఆ చిరంజీవి ఫ్యామిలీ దగ్గర మీ ఫ్యామిలీ ఎందుకు పని చేస్తుంది రా వెర్రి వెంగళప్ప నువ్వు నీ మాట్లాడను,1
orey miru chese అభివృద్ధి ఏమైనా ఉన్నాయా భూతులు తిట్టడం తప్ప,1
sannasi anagaane nene ani  mee honesty ki hats off sir,1
idendayya idi mariiii ila thayarayyaru dandaalu ra ayya,1
nani inkosari pk speech chudu  sollu kakunda raise chesina points gurinchi matladu sannasivenuv no doubt,1
peoples be like nuvvu nijanga erripukivi ,1
sanyasi ante yevaro  anukunna e korja gada,1
maa karama elanti ministers undadam,1
pk cheppindi enti  veedu cheppedi enti  kulala madya chichu pedadam annatu undi veedu matladedi,1
పవన్ కళ్యాణ్ మూవీస్ లో హీరో రాజకీయం లో   ,1
asalu villu prajalaki em manchi chesthunnaroo cheppandi boothulu maatlaadi public ki tv ki entertainment cheyakandi,1
karthikeya masth cheppinddu sudheer miru jabardasth ki belong avvarudhee ki belong avvaru ma audience ki belong avutaru ,0
"నూతన సంవత్సర శుభాకాంక్షలు  సూపర్ ఈవెంట్ సుధీర్ అండ్ రష్మీ డాన్స్ సూపర్ 
iam wathing సంక్రాంతి ఈవెంట్",0
climax telisikuda chusam ante thats all bcoz of sudheer and rashmi ,0
okko punch okko diamond la undi vronice edit,0
vijay devarakonda fans ekkada thagedhele ,0
సుధీర్ అన్నా మీరు ఎదుటివారితో మాట్లాడే విధానం చాలా బాగుంటది అందుకే మీరంటే అందరికీ ఇష్టం ఎంత పైకి ఏదిగినా ఇలాగే వుండాలి,0
sudheer gaaru team yekada unna full comedyperfect time ki set ayyeka comedy chestharu ,0
ndian marriages antey narakami ve seen that hellpolice case lu blackmailing chala untayivinthaluviseshaluvadhu brothers marriage vadhuhappy ga single ga undandifocus on your goalslove your parentsfriendsgod bless you all…,1
lavada bro hater gallu chiller,1
gudda lo rod dimuptha,1
puk chinthapandu chestha na kodaka,1
denginchukondi ra monna na notlo modda pettaru gah,1
niamma puku denga siggu vundali ra,1
na athulu anta leru na endhuku ra,1
enko sari horn kodite gudda lo pedutha na kodaka,1
music apara lanja kodaka,1
power staranedi oka brandevadu padithe vadu power star kadukaleduking okkade power star okkaleonly powerful power star pavan kalyan okkade,0
power star ante movies and acting kadu real star only,0
dil raju mari ekkuva chestunnadu no one can name like pspk,1
కలం పట్టిన ప్రతీ వాడు శ్రీ శ్రీ కాలేడు హీరో అయిన ప్రతీ వాడు power star కాలేడు ,0
dont compare it with powerstar veedi laga chetha character lu chillar gadi character lu cheyadu ma power star vaadu thaginchukunte manchidhi,1
power star antha scene ledu,1
king of over acting  anna ki best over actor award always goes to vijay konda babu ,1
comparing every single bok gadu with pawan kalyan,1
powar star okkade adhi pawan kalyan inka yavaru leru,0
yenta mandhi stars vunna pawan kalyan ye  power star,0
అనిల్ రావపూడి గారు చాలా బాగా చేశారు,0
ఆడియో ఫంక్షన్ సూపర్ కామెడీ సూపర్ సూపర్ సూపర్,0
venky sir ki assalu ego anedi leneledhu sir ur super man,0
సూపర్ అండీ ఆదిగారు చాలా బాగా చెప్పారు మీలా ప్రతి సెలబ్రిటీ ఆలోచించాలి,0
adhiమతాల మద్య చిచ్చు పెట్టే ఎదవల నువాల్లు నమ్మిన దేవుడు కూడా క్షమించడుజైహింద్జై శ్రీరాం,1
బ్రదర్ మాకు ఇప్పటివరకు శివాజీ మహారాజు  తెలుసు ఆయన ఒక కుమారుని గురించి మాకు ఎలాంటి విషయాలు తెలియవు మీరు తప్పక వీడియో ‍‌‌చేయండి👍,1
మాస్టర్ గారు ఇది ఇంటర్వ్యూ లా లేదు ఇంటరాగేషన్ లా ఉంది సూపర్ ,0
కొట్టకుండా ఇంతసేపు మాట్లాడిన యాంకర్ కి నమస్కారాలు చూసిన మనకి పిచ్చి  పరాకాష్ట ,1
శివ అన్న నువు నవ్వుతూ నరకం చూపించే వాడివి అన్న నీ ఇంటర్వ్యూ కి వచ్చే వాళ్లకి,1
నా లైఫ్ మొత్తం లో  ఫార్వర్డ్ చేయకుండా చుసిన వీడియో super interview shiva bhayya,0
baga chepparu nani anna meru correct,0
nani anna meru great,0
andukokune vaalu laga vunnaru meru natho comparision na,1
kallu pathukoni sanka kannidhi meru,1
jr ntr chala vinayam ga vuntaru,0
కుత్త పగులుద్ది ఎవడైనాany partyany other fans ఎన్టీఆర్ అన్న ని తక్కువ చేసి మాట్లాడితే,0
దేవుడు ఈ మనిషిని ఈ లోకంలో కి పంపేటప్పుడు నిజం మాట్లాడాలి అనే ఆప్షన్ disable చేసి పంపి వుంటాడు,0
యాంకర్ గారు అసలు మీకు దండం పెట్టాలండి బాబు మీ ఓపిక ఏంటండీ ,0
he is genuine person అందుకే లోకల్ చిల్లర నాయకులు అంతా కలిసి వాడిని టార్గెట్ చేశారు,0
కేతిరెడ్డి గారు మీరు తిరగడం తప్ప ప్రభుత్వం నుండి నిధులు ఏమైనా తెస్తున్నారా,1
rai అతను ఉద్యోగం correct గా చేస్తున్నాడు ఎందుకు ర నాయకులు అందురు కలిసి నిందలు వేస్తారు నిజాయితీ పని చేస్తే ఎవరికీ నచ్చదుఛీ,1
rip ap politicians అంత మంది ఒక్కడిని టార్గెట్ చేశారు అంటే వాడు ఖచ్చితంగా వాడి డ్యూటీ చేస్తూ ఉండి ఉంటాడు,1
mādi telaṅgāṇa rāṣṭraṁ sār kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ,0
andarilo niladhiyadam sari ayina paddathi kadhu every one has self respect he is also citizen ok,0
sir m l a garu prajala vadaku meru vachi chalabaga matladinaru sir bat all m l as nidarsanam very good sir m l a garu,0
seemasimham ante ila undali great mla gaaru dharmavaram prajalu adhrushtavanthulu,0
nayakudu ela undali god bless you sir,0
sarpanchulu corporator lu kadhu vallu lakshalu kottlu nokkeseki volunteers respect ivvatam nerchukondi mla,1
"పాపం అతన్ని చూస్తే చాల జాలి వేస్తుంది అందరు  కలిసి ఇలా ఇరికించేసి వీడియో తీసి సోషల్ మీడియాలో పెట్టడం ఎంతవరకు కరెక్ట్
ఎమ్మెల్యే కేతిరెడ్డి గారు మీరు హయ్యర్ ఆపీసర్ లని ఇలా ప్రశ్నించి వీడియో పెట్టండి
ఇలాంటి చిన్న ఉద్యోగుల ని ఇబ్బందులు పెట్టి మానసికంగ వాళ్లని హింసించకండి",1
volunteer chesedhi seva praja seva oka rakamga adhi emi govt job kadhu choppinavanni thala upu kunta cheyani ki time paduthundi andhariki anni chusukoni vallaku help cheyali ante volunteer anevaru help chese vallu society ki andhukani help chepinchukondi anni musukoni pani kadhu chepinchukovalsindi,1
